anbieter_name,tarif_name,besonderheiten_json,geburtsjahr,summe_eur,beitrag_eur
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1950,8000,69.62
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1950,10000,87.02
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1950,5000,52.46
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1950,8000,83.94
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1950,10000,104.92
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1951,5000,44.90
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1951,8000,71.84
Allianz,Bestattungsschutzbrief,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false}",1951,10000,89.80
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1951,5000,41.58
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1951,8000,66.53
Ideal,Sterbegeld pur+,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":36,""doppelte_unfall"":false,""rueckholung"":true,""kindermitvers"":true}",1951,10000,83.16
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1951,5000,49.17
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1951,8000,78.67
LV1871,Comfort plus,"{""lebenslang"":true,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":false,""kindermitvers"":false}",1951,10000,98.34
November,Basic Plus,"{""lebenslang"":false,""gp"":false,""wartezeit_monate"":12,""doppelte_unfall"":true,""rueckholung"":true,""kindermitvers"":false,""zahlung_bis_alter"":85}",1951,5000,58.69
